training_condition,model,threshold_source,selected_threshold,validation_rows,validation_f1_macro,validation_recall_positive,test_dataset,test_rows,leakage_caveat,default_accuracy,default_precision_positive,default_recall_positive,default_f1_positive,default_precision_macro,default_recall_macro,default_f1_macro,default_tn,default_fp,default_fn,default_tp,threshold_accuracy,threshold_precision_positive,threshold_recall_positive,threshold_f1_positive,threshold_precision_macro,threshold_recall_macro,threshold_f1_macro,threshold_tn,threshold_fp,threshold_fn,threshold_tp,macro_f1_delta,positive_recall_delta,positive_f1_delta
mixed_kaggle_plus_cm,muril,internal_validation,0.42,1444,0.6186955373646685,0.5164233576642335,cm_splits_codemixed,415,False,0.6457831325301204,0.0,0.0,0.0,0.3228915662650602,0.5,0.3923865300146413,268,0,147,0,0.6168674698795181,0.4605263157894737,0.47619047619047616,0.4682274247491639,0.5838753251951171,0.5851101634683724,0.5843961982502881,186,82,77,70,0.1920096682356468,0.47619047619047616,0.4682274247491639
mixed_kaggle_plus_cm,muril,internal_validation,0.42,1444,0.6186955373646685,0.5164233576642335,thar_religion,2310,False,0.5277056277056277,0.0,0.0,0.0,0.26385281385281384,0.5,0.345423632757155,1219,0,1091,0,0.5575757575757576,0.5602094240837696,0.29422548120989916,0.3858173076923077,0.5584581950585803,0.5437493279716435,0.5200399123035286,967,252,770,321,0.17461627954637365,0.29422548120989916,0.3858173076923077
mixed_cm_plus_thar,mbert,internal_validation,0.45,2527,0.8041596368935751,0.8074866310160428,kaggle_hinglish_hate,956,False,0.5271966527196653,0.3574007220216607,0.26541554959785524,0.3046153846153846,0.476933056150742,0.48004911270630324,0.4732268682189443,405,178,274,99,0.5177824267782427,0.3580645161290323,0.2975871313672922,0.32503660322108346,0.47624588035553783,0.4781246119958245,0.47496744725740914,384,199,262,111,0.0017405790384648623,0.03217158176943696,0.020421218605698843
mixed_cm_plus_thar,mbert,internal_validation,0.45,2527,0.8041596368935751,0.8074866310160428,cm_splits_codemixed,415,False,0.7783132530120482,0.6923076923076923,0.673469387755102,0.6827586206896552,0.7579185520361991,0.754645141638745,0.7561941251596425,224,44,48,99,0.7831325301204819,0.6862745098039216,0.7142857142857143,0.7,0.7629845831462356,0.767590618336887,0.7650943396226415,220,48,42,105,0.008900214462999045,0.04081632653061229,0.01724137931034475
mixed_cm_plus_thar,mbert,internal_validation,0.45,2527,0.8041596368935751,0.8074866310160428,thar_religion,2310,False,0.7562770562770563,0.7295652173913043,0.769019248395967,0.7487728692547969,0.7561619190404798,0.7569460474957685,0.7560594064643047,908,311,252,839,0.7567099567099567,0.7239627434377646,0.7836846929422548,0.7526408450704225,0.7574640997968274,0.7581261856835967,0.7566441022626389,893,326,236,855,0.0005846957983342005,0.01466544454628782,0.0038679758156255906
mixed_cm_plus_thar,muril,internal_validation,0.5,2527,0.357324516785351,0.0,kaggle_hinglish_hate,956,False,0.6098326359832636,0.0,0.0,0.0,0.3049163179916318,0.5,0.3788174139051332,583,0,373,0,0.6098326359832636,0.0,0.0,0.0,0.3049163179916318,0.5,0.3788174139051332,583,0,373,0,0.0,0.0,0.0
mixed_cm_plus_thar,muril,internal_validation,0.5,2527,0.357324516785351,0.0,cm_splits_codemixed,415,False,0.6457831325301204,0.0,0.0,0.0,0.3228915662650602,0.5,0.3923865300146413,268,0,147,0,0.6457831325301204,0.0,0.0,0.0,0.3228915662650602,0.5,0.3923865300146413,268,0,147,0,0.0,0.0,0.0
mixed_cm_plus_thar,muril,internal_validation,0.5,2527,0.357324516785351,0.0,thar_religion,2310,False,0.5277056277056277,0.0,0.0,0.0,0.26385281385281384,0.5,0.345423632757155,1219,0,1091,0,0.5277056277056277,0.0,0.0,0.0,0.26385281385281384,0.5,0.345423632757155,1219,0,1091,0,0.0,0.0,0.0
mixed_kaggle_plus_thar,mbert,internal_validation,0.58,2613,0.7370660309332678,0.6797608881298036,kaggle_hinglish_hate,956,False,0.7165271966527197,0.6888888888888889,0.49865951742627346,0.578538102643857,0.7081470683511499,0.6772885923323477,0.6824920615662153,499,84,187,186,0.7123430962343096,0.7268518518518519,0.42091152815013405,0.533106960950764,0.71747997997998,0.6598554210218938,0.6626230194020638,524,59,216,157,-0.01986904216415153,-0.0777479892761394,-0.045431141693092925
mixed_kaggle_plus_thar,mbert,internal_validation,0.58,2613,0.7370660309332678,0.6797608881298036,cm_splits_codemixed,415,False,0.6,0.42016806722689076,0.3401360544217687,0.37593984962406013,0.546232682262094,0.5413366839273023,0.5408068042446541,199,69,97,50,0.6313253012048192,0.4642857142857143,0.2653061224489796,0.33766233766233766,0.5690008631851533,0.5486978373438928,0.541118314073239,223,45,108,39,0.000311509828584855,-0.07482993197278909,-0.038277511961722466
